day_of_week,date,holiday_name,holiday_type
Thursday,Jan 01,New Year's Day,Regional Holiday
Thursday,Jan 01,Gann-Ngai,Regional Holiday
Friday,Jan 02,Mannam Jayanthi,Regional Holiday
Friday,Jan 02,New Year Celebration,Regional Holiday
Saturday,Jan 03,Imam Ali's Birthday,Regional Holiday
Monday,Jan 05,Guru Gobind Singh Jayanti,Regional Holiday
Sunday,Jan 11,Missionary Day,Regional Holiday
Monday,Jan 12,Birthday of Swami Vivekananda,Regional Holiday
Wednesday,Jan 14,Sankranti,Regional Holiday
Wednesday,Jan 14,Maghe Sankranti,Regional Holiday
Wednesday,Jan 14,Bhogi,Regional Holiday
Wednesday,Jan 14,Tusu Puja,Regional Holiday
Thursday,Jan 15,Sankranti,Regional Holiday
Thursday,Jan 15,Pongal,Regional Holiday
Thursday,Jan 15,Magh Bihu Holiday,Regional Holiday
Friday,Jan 16,Thiruvalluvar Day,Regional Holiday
Saturday,Jan 17,Uzhavar Tirunal,Regional Holiday
Saturday,Jan 17,Shab-I-Miraj,Regional Holiday
Monday,Jan 19,Sonam Lhosar,Regional Holiday
Friday,Jan 23,Netaji Subhas Chandra Bose Jayanti,Regional Holiday
Friday,Jan 23,Vasant Panchami,Regional Holiday
Sunday,Jan 25,Statehood Day,Regional Holiday
Sunday,Jan 25,Devnarayan Jayanti,Regional Holiday
Monday,Jan 26,Republic Day,Public Holiday
Tuesday,Jan 27,Gothar Bathou Sun,Not a Public Holiday
Saturday,Jan 31,Me-dam-me-phi,Regional Holiday
Sunday,Feb 01,Guru Ravidas Jayanti,Regional Holiday
Sunday,Feb 01,Thaipoosam,Regional Holiday
Sunday,Feb 01,Bir Chilarai Divas,Regional Holiday
Wednesday,Feb 04,Shab e-Barat,Regional Holiday
Sunday,Feb 15,Maha Shivratri,Regional Holiday
Sunday,Feb 15,Lui-Ngai-Ni,Regional Holiday
Wednesday,Feb 18,Losar,Regional Holiday
Thursday,Feb 19,Chahhtrapati Shivaji Maharaj Jayanti,Regional Holiday
Friday,Feb 20,Statehood Day,Regional Holiday
Friday,Feb 20,Mizoram State Day,Regional Holiday
Monday,Mar 02,Holi Dahan,Regional Holiday
Tuesday,Mar 03,Doljatra,Regional Holiday
Tuesday,Mar 03,Holi,Regional Holiday
Tuesday,Mar 03,Yaosang 2nd Day,Regional Holiday
Tuesday,Mar 03,Dhulandi,Regional Holiday
Tuesday,Mar 03,Bhumchu Festival,Regional Holiday
Wednesday,Mar 04,Holi,Regional Holiday
Friday,Mar 13,Chapchar Kut,Regional Holiday
Tuesday,Mar 17,Shab-I-Qadr,Regional Holiday
Thursday,Mar 19,Ugadi,Regional Holiday
Thursday,Mar 19,Cheti Chand,Regional Holiday
Thursday,Mar 19,1st Navratra,Regional Holiday
Thursday,Mar 19,Gudi Padwa,Regional Holiday
Friday,Mar 20,Idul Fitr,Regional Holiday
Friday,Mar 20,Jumat-ul-Wida,Regional Holiday
